111 15,STOCKHOLM           ,3
111 20,STOCKHOLM           ,50
111 21,STOCKHOLM           ,344
111 22,STOCKHOLM           ,149
111 23,STOCKHOLM           ,740
111 24,STOCKHOLM           ,896
111 27,STOCKHOLM           ,812
111 28,STOCKHOLM           ,124
111 29,STOCKHOLM           ,850
111 30,STOCKHOLM           ,461
111 31,STOCKHOLM           ,865
111 34,STOCKHOLM           ,145
111 35,STOCKHOLM           ,4
111 36,STOCKHOLM           ,312
111 37,STOCKHOLM           ,586
111 38,STOCKHOLM           ,991
111 39,STOCKHOLM           ,669
111 40,STOCKHOLM           ,824
111 44,STOCKHOLM           ,66
111 45,STOCKHOLM           ,21
111 46,STOCKHOLM           ,2
111 47,STOCKHOLM           ,7
111 48,STOCKHOLM           ,9
111 49,STOCKHOLM           ,51
111 51,STOCKHOLM           ,7
111 52,STOCKHOLM           ,541
111 53,STOCKHOLM           ,2
111 56,STOCKHOLM           ,101
111 57,STOCKHOLM           ,109
111 60,STOCKHOLM           ,872
111 61,STOCKHOLM           ,343
111 64,STOCKHOLM           ,243
112 15,STOCKHOLM           ,1026
112 16,STOCKHOLM           ,1073
112 17,STOCKHOLM           ,870
112 18,STOCKHOLM           ,1317
112 19,STOCKHOLM           ,631
112 20,STOCKHOLM           ,1305
112 21,STOCKHOLM           ,1978
112 22,STOCKHOLM           ,1000
112 23,STOCKHOLM           ,1430
112 24,STOCKHOLM           ,1008
112 25,STOCKHOLM           ,949
112 26,STOCKHOLM           ,724
112 27,STOCKHOLM           ,1374
112 28,STOCKHOLM           ,1130
112 29,STOCKHOLM           ,1164
112 30,STOCKHOLM           ,872
112 31,STOCKHOLM           ,989
112 32,STOCKHOLM           ,915
112 33,STOCKHOLM           ,2071
112 34,STOCKHOLM           ,852
112 35,STOCKHOLM           ,792
112 36,STOCKHOLM           ,1013
112 37,STOCKHOLM           ,971
112 38,STOCKHOLM           ,1053
112 39,STOCKHOLM           ,1209
112 40,STOCKHOLM           ,1138
112 41,STOCKHOLM           ,1192
112 42,STOCKHOLM           ,1149
112 43,STOCKHOLM           ,1123
112 44,STOCKHOLM           ,1384
112 45,STOCKHOLM           ,2190
112 46,STOCKHOLM           ,1143
112 47,STOCKHOLM           ,1062
112 48,STOCKHOLM           ,1348
112 49,STOCKHOLM           ,1292
112 50,STOCKHOLM           ,990
112 51,STOCKHOLM           ,125
112 52,STOCKHOLM           ,1506
112 53,STOCKHOLM           ,1589
112 54,STOCKHOLM           ,1167
112 55,STOCKHOLM           ,1305
112 56,STOCKHOLM           ,800
112 57,STOCKHOLM           ,744
112 58,STOCKHOLM           ,1176
112 59,STOCKHOLM           ,1365
112 60,STOCKHOLM           ,1373
112 61,STOCKHOLM           ,1027
112 62,STOCKHOLM           ,1349
112 63,STOCKHOLM           ,861
112 64,STOCKHOLM           ,1880
112 65,STOCKHOLM           ,1476
112 66,STOCKHOLM           ,904
112 67,STOCKHOLM           ,1528
112 69,STOCKHOLM           ,1088
113 20,STOCKHOLM           ,839
113 21,STOCKHOLM           ,1249
113 22,STOCKHOLM           ,1614
113 23,STOCKHOLM           ,1131
113 24,STOCKHOLM           ,1493
113 25,STOCKHOLM           ,1401
113 26,STOCKHOLM           ,1580
113 27,STOCKHOLM           ,1656
113 28,STOCKHOLM           ,1427
113 29,STOCKHOLM           ,1833
113 30,STOCKHOLM           ,1326
113 31,STOCKHOLM           ,1245
113 32,STOCKHOLM           ,1014
113 33,STOCKHOLM           ,1089
113 35,STOCKHOLM           ,1776
113 36,STOCKHOLM           ,1302
113 37,STOCKHOLM           ,1133
113 38,STOCKHOLM           ,1191
113 39,STOCKHOLM           ,1091
113 40,STOCKHOLM           ,1345
113 41,STOCKHOLM           ,1488
113 42,STOCKHOLM           ,1007
113 43,STOCKHOLM           ,1047
113 44,STOCKHOLM           ,1413
113 45,STOCKHOLM           ,1407
113 46,STOCKHOLM           ,1737
113 47,STOCKHOLM           ,1828
113 48,STOCKHOLM           ,1267
113 49,STOCKHOLM           ,1259
113 50,STOCKHOLM           ,1381
113 51,STOCKHOLM           ,951
113 52,STOCKHOLM           ,1406
113 53,STOCKHOLM           ,1722
113 54,STOCKHOLM           ,1230
113 55,STOCKHOLM           ,1181
113 56,STOCKHOLM           ,1185
113 57,STOCKHOLM           ,943
113 58,STOCKHOLM           ,1006
113 59,STOCKHOLM           ,1030
113 60,STOCKHOLM           ,1404
113 61,STOCKHOLM           ,1599
113 62,STOCKHOLM           ,1599
113 64,STOCKHOLM           ,610
114 15,STOCKHOLM           ,568
114 16,STOCKHOLM           ,1055
114 17,STOCKHOLM           ,1099
114 18,STOCKHOLM           ,981
114 19,STOCKHOLM           ,65
114 20,STOCKHOLM           ,1544
114 21,STOCKHOLM           ,1853
114 22,STOCKHOLM           ,1076
114 23,STOCKHOLM           ,801
114 24,STOCKHOLM           ,1283
114 25,STOCKHOLM           ,1003
114 26,STOCKHOLM           ,1325
114 27,STOCKHOLM           ,900
114 28,STOCKHOLM           ,571
114 29,STOCKHOLM           ,551
114 30,STOCKHOLM           ,1001
114 31,STOCKHOLM           ,852
114 32,STOCKHOLM           ,1186
114 33,STOCKHOLM           ,123
114 34,STOCKHOLM           ,16
114 35,STOCKHOLM           ,76
114 36,STOCKHOLM           ,557
114 37,STOCKHOLM           ,827
114 38,STOCKHOLM           ,970
114 39,STOCKHOLM           ,359
114 40,STOCKHOLM           ,660
114 41,STOCKHOLM           ,897
114 42,STOCKHOLM           ,621
114 43,STOCKHOLM           ,604
114 44,STOCKHOLM           ,894
114 45,STOCKHOLM           ,779
114 46,STOCKHOLM           ,264
114 47,STOCKHOLM           ,721
114 48,STOCKHOLM           ,796
114 49,STOCKHOLM           ,731
114 50,STOCKHOLM           ,788
114 51,STOCKHOLM           ,682
114 52,STOCKHOLM           ,824
114 53,STOCKHOLM           ,1161
114 54,STOCKHOLM           ,1010
114 55,STOCKHOLM           ,1068
114 56,STOCKHOLM           ,915
114 57,STOCKHOLM           ,947
114 58,STOCKHOLM           ,950
114 59,STOCKHOLM           ,1365
114 60,STOCKHOLM           ,1196
115 20,STOCKHOLM           ,1776
115 21,STOCKHOLM           ,812
115 22,STOCKHOLM           ,1312
115 23,STOCKHOLM           ,1361
115 24,STOCKHOLM           ,737
115 25,STOCKHOLM           ,65
115 26,STOCKHOLM           ,1337
115 27,STOCKHOLM           ,947
115 28,STOCKHOLM           ,1677
115 29,STOCKHOLM           ,922
115 30,STOCKHOLM           ,1080
115 31,STOCKHOLM           ,1164
115 32,STOCKHOLM           ,786
115 33,STOCKHOLM           ,1072
115 34,STOCKHOLM           ,1211
115 35,STOCKHOLM           ,887
115 36,STOCKHOLM           ,771
115 37,STOCKHOLM           ,948
115 38,STOCKHOLM           ,1350
115 39,STOCKHOLM           ,926
115 40,STOCKHOLM           ,1140
115 41,STOCKHOLM           ,4
115 42,STOCKHOLM           ,1100
115 43,STOCKHOLM           ,1133
115 50,STOCKHOLM           ,1798
115 51,STOCKHOLM           ,184
115 53,STOCKHOLM           ,1090
115 57,STOCKHOLM           ,1243
115 58,STOCKHOLM           ,839
115 59,STOCKHOLM           ,1103
116 20,STOCKHOLM           ,1332
116 21,STOCKHOLM           ,1050
116 22,STOCKHOLM           ,1507
